"corpus","preloaded/sibol_corpus"
"subcorpus","-"
Headword,Relation,Collocation,Frequency,Relative frequency,Rating
"fund-n","nouns modified by ""%w""","manager-n",10846,10.74679,10.676
"only-j","nouns modified by ""%w""","thing-n",10846,10.74679,9.534
"house-n","nouns modified by ""%w""","price-n",10813,10.71410,10.493
"European-n","nouns modified by ""%w""","Union-n",10802,10.70320,11.724
"Sunday-n","nouns modified by ""%w""","Times-n",10730,10.63185,11.357
"world-n","nouns modified by ""%w""","war-n",10669,10.57141,10.640
"last-j","nouns modified by ""%w""","day-n",10662,10.56448,7.988
"security-n","nouns modified by ""%w""","force-n",10570,10.47332,10.479
"right-j","nouns modified by ""%w""","thing-n",10527,10.43071,9.775
"legal-j","nouns modified by ""%w""","action-n",10513,10.41684,10.632
"first-j","nouns modified by ""%w""","round-n",10499,10.40297,8.516
"financial-j","nouns modified by ""%w""","year-n",10489,10.39306,8.325
"vast-j","nouns modified by ""%w""","majority-n",10421,10.32568,12.214
"several-j","nouns modified by ""%w""","time-n",10408,10.31280,8.801
"South-n","nouns modified by ""%w""","Korea-n",10407,10.31181,10.896
"executive-j","nouns modified by ""%w""","director-n",10406,10.31082,10.405
"World-n","nouns modified by ""%w""","championship-n",10319,10.22461,10.244
"central-j","nouns modified by ""%w""","bank-n",10301,10.20678,10.779
"good-j","nouns modified by ""%w""","place-n",10301,10.20678,8.464
"same-j","nouns modified by ""%w""","thing-n",10269,10.17507,9.116
"age-n","nouns modified by ""%w""","group-n",10244,10.15030,9.944
"Wall-n","nouns modified by ""%w""","Street-n",10243,10.14931,11.006
"old-j","nouns modified by ""%w""","people-n",10161,10.06806,8.918
"Liberal-n","nouns modified by ""%w""","Democrats-n",10141,10.04824,12.998
"good-j","nouns modified by ""%w""","deal-n",10036,9.94420,8.442
"other-j","nouns modified by ""%w""","part-n",10004,9.91249,8.420
"Sky-n","nouns modified by ""%w""","Sports-n",9994,9.90259,12.551
"bank-n","nouns modified by ""%w""","account-n",9982,9.89070,11.101
"George-n","nouns modified by ""%w""","Osborne-n",9935,9.84413,11.738
"care-n","nouns modified by ""%w""","home-n",9929,9.83818,10.457
"important-j","nouns modified by ""%w""","thing-n",9909,9.81836,9.768
"health-n","nouns modified by ""%w""","service-n",9901,9.81044,9.504
"Abu-n","nouns modified by ""%w""","Dhabi-n",9900,9.80945,13.225
"past-j","nouns modified by ""%w""","decade-n",9893,9.80251,11.189
"first-j","nouns modified by ""%w""","game-n",9877,9.78666,8.215
"few-j","nouns modified by ""%w""","minute-n",9849,9.75891,9.607
"Alex-n","nouns modified by ""%w""","Ferguson-n",9837,9.74702,12.104
"recent-j","nouns modified by ""%w""","month-n",9803,9.71333,9.336
"first-j","nouns modified by ""%w""","test-n",9672,9.58353,8.303
"close-j","nouns modified by ""%w""","friend-n",9663,9.57461,11.006
"past-j","nouns modified by ""%w""","week-n",9658,9.56966,9.263
"good-j","nouns modified by ""%w""","team-n",9577,9.48940,8.171
"first-j","nouns modified by ""%w""","step-n",9541,9.45373,8.406
"government-n","nouns modified by ""%w""","official-n",9491,9.40419,9.526
"many-j","nouns modified by ""%w""","way-n",9469,9.38239,8.699
"car-n","nouns modified by ""%w""","park-n",9438,9.35167,11.226
"new-j","nouns modified by ""%w""","home-n",9426,9.33978,7.988
"good-j","nouns modified by ""%w""","job-n",9419,9.33285,8.420
"bad-j","nouns modified by ""%w""","news-n",9393,9.30708,10.325
"more-j","nouns modified by ""%w""","information-n",9381,9.29519,9.072
"new-j","nouns modified by ""%w""","law-n",9363,9.27736,8.054
"public-j","nouns modified by ""%w""","sector-n",9348,9.26250,9.526
"few-j","nouns modified by ""%w""","hour-n",9293,9.20800,9.446
"wide-j","nouns modified by ""%w""","range-n",9288,9.20304,11.233
"Crystal-n","nouns modified by ""%w""","Palace-n",9287,9.20205,12.793
"police-n","nouns modified by ""%w""","force-n",9197,9.11288,9.797
"United-n","nouns modified by ""%w""","Nations-n",9185,9.10099,10.647
"Municipal-n","nouns modified by ""%w""","Corporation-n",9169,9.08513,12.046
"Mr-n","nouns modified by ""%w""","Major-n",9168,9.08414,8.875
"civic-j","nouns modified by ""%w""","body-n",9160,9.07621,11.416
"same-j","nouns modified by ""%w""","day-n",9143,9.05937,8.831
