"corpus","preloaded/sibol_corpus"
"subcorpus","-"
Headword,Relation,Collocation,Frequency,Relative frequency,Rating
"other-j","nouns modified by ""%w""","option-n",4620,4.57774,7.446
"first-j","nouns modified by ""%w""","child-n",4617,4.57477,7.278
"head-n","nouns modified by ""%w""","injury-n",4611,4.56882,10.237
"other-j","nouns modified by ""%w""","club-n",4604,4.56189,7.329
"Bill-n","nouns modified by ""%w""","Clinton-n",4603,4.56090,11.292
"former-j","nouns modified by ""%w""","manager-n",4600,4.55792,8.135
"equity-n","nouns modified by ""%w""","firm-n",4599,4.55693,9.885
"blood-n","nouns modified by ""%w""","clot-n",4596,4.55396,11.592
"young-j","nouns modified by ""%w""","boy-n",4593,4.55099,8.684
"court-n","nouns modified by ""%w""","case-n",4591,4.54901,9.050
"mental-j","nouns modified by ""%w""","illness-n",4588,4.54603,10.940
"PCR-n","nouns modified by ""%w""","test-n",4588,4.54603,9.958
"last-j","nouns modified by ""%w""","August-n",4587,4.54504,7.131
"Cup-n","nouns modified by ""%w""","semi-final-n",4585,4.54306,10.405
"public-j","nouns modified by ""%w""","finance-n",4581,4.53910,8.860
"business-n","nouns modified by ""%w""","model-n",4581,4.53910,9.534
"such-j","nouns modified by ""%w""","case-n",4578,4.53613,8.354
"private-j","nouns modified by ""%w""","hospital-n",4577,4.53513,9.189
"other-j","nouns modified by ""%w""","nation-n",4571,4.52919,7.468
"own-j","nouns modified by ""%w""","right-n",4567,4.52523,7.688
"large-j","nouns modified by ""%w""","amount-n",4559,4.51730,8.918
"bad-j","nouns modified by ""%w""","day-n",4557,4.51532,8.289
"few-j","nouns modified by ""%w""","time-n",4556,4.51433,7.322
"social-j","nouns modified by ""%w""","site-n",4535,4.49352,8.918
"health-n","nouns modified by ""%w""","issue-n",4535,4.49352,8.809
"half-j","nouns modified by ""%w""","year-n",4528,4.48658,7.358
"financial-j","nouns modified by ""%w""","service-n",4521,4.47965,8.347
"raw-j","nouns modified by ""%w""","material-n",4520,4.47866,11.174
"Tiger-n","nouns modified by ""%w""","Woods-n",4519,4.47767,12.676
"death-n","nouns modified by ""%w""","penalty-n",4515,4.47370,10.881
"old-j","nouns modified by ""%w""","woman-n",4510,4.46875,8.435
"free-j","nouns modified by ""%w""","p-n",4510,4.46875,10.178
"press-n","nouns modified by ""%w""","release-n",4505,4.46379,10.859
"World-n","nouns modified by ""%w""","Bank-n",4495,4.45388,9.102
"London-n","nouns modified by ""%w""","Exchange-n",4494,4.45289,9.460
"National-n","nouns modified by ""%w""","Council-n",4490,4.44893,9.109
"senior-j","nouns modified by ""%w""","leader-n",4485,4.44398,8.633
"different-j","nouns modified by ""%w""","part-n",4482,4.44100,8.721
"first-j","nouns modified by ""%w""","phase-n",4480,4.43902,7.380
"former-j","nouns modified by ""%w""","member-n",4480,4.43902,8.040
"British-j","nouns modified by ""%w""","troop-n",4477,4.43605,8.772
"Mr-n","nouns modified by ""%w""","Clegg-n",4474,4.43308,7.849
"task-n","nouns modified by ""%w""","force-n",4473,4.43209,10.032
"Man-n","nouns modified by ""%w""","City-n",4471,4.43010,10.046
"British-n","nouns modified by ""%w""","Gas-n",4469,4.42812,10.750
"National-n","nouns modified by ""%w""","Trust-n",4466,4.42515,9.299
"top-j","nouns modified by ""%w""","official-n",4461,4.42020,8.508
"first-j","nouns modified by ""%w""","innings-n",4453,4.41227,7.380
"long-j","nouns modified by ""%w""","hour-n",4452,4.41128,8.911
"Daily-n","nouns modified by ""%w""","Mirror-n",4452,4.41128,11.357
"green-j","nouns modified by ""%w""","light-n",4449,4.40831,10.295
"security-n","nouns modified by ""%w""","service-n",4448,4.40731,8.582
"national-j","nouns modified by ""%w""","park-n",4439,4.39840,9.226
"suicide-n","nouns modified by ""%w""","bomber-n",4438,4.39741,12.229
"bottom-j","nouns modified by ""%w""","line-n",4437,4.39642,9.819
"many-j","nouns modified by ""%w""","player-n",4428,4.38750,7.512
"state-n","nouns modified by ""%w""","department-n",4428,4.38750,9.014
"third-j","nouns modified by ""%w""","party-n",4426,4.38552,8.823
"Foreign-n","nouns modified by ""%w""","Secretary-n",4423,4.38254,10.610
"department-n","nouns modified by ""%w""","store-n",4421,4.38056,10.757
"government-n","nouns modified by ""%w""","agency-n",4418,4.37759,9.058
"negative-j","nouns modified by ""%w""","test-n",4415,4.37462,9.680
"Sunday-n","nouns modified by ""%w""","Telegraph-n",4414,4.37363,10.530
"financial-j","nouns modified by ""%w""","support-n",4413,4.37263,9.080
"right-n","nouns modified by ""%w""","group-n",4409,4.36867,8.640
"tuition-n","nouns modified by ""%w""","fee-n",4408,4.36768,11.035
"Football-n","nouns modified by ""%w""","League-n",4403,4.36273,9.790
"real-j","nouns modified by ""%w""","estate-n",4395,4.35480,9.358
"last-j","nouns modified by ""%w""","Thursday-n",4393,4.35282,7.065
"side-n","nouns modified by ""%w""","effect-n",4393,4.35282,10.442
"coronavirus-n","nouns modified by ""%w""","case-n",4391,4.35084,9.050
"poor-j","nouns modified by ""%w""","country-n",4388,4.34786,9.175
"good-j","nouns modified by ""%w""","life-n",4384,4.34390,7.197
"London-n","nouns modified by ""%w""","School-n",4383,4.34291,8.962
"former-j","nouns modified by ""%w""","officer-n",4382,4.34192,7.952
"South-n","nouns modified by ""%w""","East-n",4377,4.33696,9.512
"recent-j","nouns modified by ""%w""","time-n",4376,4.33597,7.520
"health-n","nouns modified by ""%w""","worker-n",4369,4.32904,8.860
"St-n","nouns modified by ""%w""","Andrew-n",4368,4.32805,10.479
"last-j","nouns modified by ""%w""","game-n",4366,4.32606,6.794
"artistic-j","nouns modified by ""%w""","director-n",4366,4.32606,9.395
"Met-n","nouns modified by ""%w""","Office-n",4365,4.32507,10.859
"Covid-19-n","nouns modified by ""%w""","pandemic-n",4364,4.32408,11.079
"large-j","nouns modified by ""%w""","group-n",4362,4.32210,7.996
"good-j","nouns modified by ""%w""","practice-n",4361,4.32111,7.417
"key-j","nouns modified by ""%w""","player-n",4356,4.31616,8.538
"last-j","nouns modified by ""%w""","election-n",4353,4.31318,6.941
"new-j","nouns modified by ""%w""","product-n",4350,4.31021,6.978
"Love-n","nouns modified by ""%w""","Island-n",4348,4.30823,11.672
"economic-j","nouns modified by ""%w""","policy-n",4339,4.29931,8.962
"deputy-j","nouns modified by ""%w""","director-n",4331,4.29138,9.175
"new-j","nouns modified by ""%w""","film-n",4330,4.29039,6.934
"own-j","nouns modified by ""%w""","goal-n",4327,4.28742,8.179
"good-j","nouns modified by ""%w""","option-n",4326,4.28643,7.380
"post-n","nouns modified by ""%w""","office-n",4326,4.28643,10.244
"home-n","nouns modified by ""%w""","town-n",4323,4.28346,9.343
"AC-n","nouns modified by ""%w""","Milan-n",4318,4.27850,12.874
"illegal-j","nouns modified by ""%w""","immigrant-n",4313,4.27355,11.453
"Sinn-n","nouns modified by ""%w""","Fein-n",4313,4.27355,13.599
"last-j","nouns modified by ""%w""","March-n",4308,4.26860,7.029
"love-n","nouns modified by ""%w""","affair-n",4304,4.26463,10.779
"different-j","nouns modified by ""%w""","kind-n",4304,4.26463,9.314
"new-j","nouns modified by ""%w""","season-n",4302,4.26265,6.838
"many-j","nouns modified by ""%w""","company-n",4299,4.25968,7.329
"Post-n","nouns modified by ""%w""","Office-n",4293,4.25373,10.859
"Oxford-n","nouns modified by ""%w""","University-n",4291,4.25175,9.922
"former-j","nouns modified by ""%w""","leader-n",4287,4.24779,7.937
"success-n","nouns modified by ""%w""","story-n",4285,4.24581,9.995
"UK-n","nouns modified by ""%w""","economy-n",4285,4.24581,9.277
"new-j","nouns modified by ""%w""","role-n",4277,4.23788,6.926
"different-j","nouns modified by ""%w""","type-n",4276,4.23689,9.241
"short-j","nouns modified by ""%w""","story-n",4275,4.23590,9.343
"Angela-n","nouns modified by ""%w""","Merkel-n",4275,4.23590,12.625
"Gunnar-n","nouns modified by ""%w""","Solskjaer-n",4264,4.22500,13.057
"stamp-n","nouns modified by ""%w""","duty-n",4264,4.22500,11.533
"personal-j","nouns modified by ""%w""","life-n",4261,4.22203,8.823
"Scottish-j","nouns modified by ""%w""","government-n",4260,4.22103,8.809
"public-j","nouns modified by ""%w""","life-n",4260,4.22103,8.127
"big-j","nouns modified by ""%w""","club-n",4259,4.22004,7.864
"return-n","nouns modified by ""%w""","flight-n",4258,4.21905,10.874
"high-j","nouns modified by ""%w""","pressure-n",4243,4.20419,8.303
"BT-n","nouns modified by ""%w""","Sport-n",4235,4.19626,12.346
"only-j","nouns modified by ""%w""","time-n",4234,4.19527,7.468
"education-n","nouns modified by ""%w""","system-n",4233,4.19428,8.721
"public-j","nouns modified by ""%w""","money-n",4230,4.19131,8.472
"tax-n","nouns modified by ""%w""","rise-n",4227,4.18834,9.446
"vaccine-n","nouns modified by ""%w""","passport-n",4227,4.18834,11.028
"coalition-n","nouns modified by ""%w""","government-n",4225,4.18635,8.992
"clinical-j","nouns modified by ""%w""","trial-n",4219,4.18041,10.867
"square-j","nouns modified by ""%w""","foot-n",4214,4.17546,11.621
"daily-j","nouns modified by ""%w""","basis-n",4205,4.16654,10.522
"Ole-n","nouns modified by ""%w""","Solskjaer-n",4204,4.16555,13.035
"Royal-n","nouns modified by ""%w""","Navy-n",4203,4.16456,9.944
"red-j","nouns modified by ""%w""","tape-n",4189,4.15068,10.544
"global-j","nouns modified by ""%w""","economy-n",4184,4.14573,9.548
"next-j","nouns modified by ""%w""","decade-n",4183,4.14474,8.318
"Conservative-j","nouns modified by ""%w""","party-n",4182,4.14375,9.285
"Covent-n","nouns modified by ""%w""","Garden-n",4179,4.14078,12.595
"north-j","nouns modified by ""%w""","London-n",4171,4.13285,9.834
"young-j","nouns modified by ""%w""","son-n",4171,4.13285,8.662
"little-j","nouns modified by ""%w""","time-n",4167,4.12889,7.439
"chemical-n","nouns modified by ""%w""","weapon-n",4166,4.12789,11.482
"Medical-n","nouns modified by ""%w""","College-n",4161,4.12294,10.347
"serious-j","nouns modified by ""%w""","problem-n",4158,4.11997,9.087
"deputy-j","nouns modified by ""%w""","chairman-n",4157,4.11898,9.922
"young-j","nouns modified by ""%w""","age-n",4155,4.11699,8.567
"John-n","nouns modified by ""%w""","Terry-n",4150,4.11204,9.263
"President-n","nouns modified by ""%w""","Clinton-n",4149,4.11105,10.303
"death-n","nouns modified by ""%w""","rate-n",4145,4.10709,8.728
"current-j","nouns modified by ""%w""","year-n",4144,4.10610,7.058
"whole-j","nouns modified by ""%w""","world-n",4143,4.10510,9.263
"classical-j","nouns modified by ""%w""","music-n",4140,4.10213,10.625
"announcement-n","verbs with ""%w"" as subject","be-v",4139,4.10114,3.477
"be-v","subjects of ""%w""","announcement-n",4139,4.10114,3.477
"few-j","nouns modified by ""%w""","thing-n",4138,4.10015,7.747
"Mr-n","nouns modified by ""%w""","Miliband-n",4135,4.09718,7.732
"Cup-n","nouns modified by ""%w""","tie-n",4134,4.09619,10.046
"last-j","nouns modified by ""%w""","autumn-n",4133,4.09520,6.992
"big-j","nouns modified by ""%w""","bank-n",4133,4.09520,7.922
"other-j","nouns modified by ""%w""","leader-n",4127,4.08925,7.043
"other-j","nouns modified by ""%w""","man-n",4127,4.08925,6.985
"big-j","nouns modified by ""%w""","issue-n",4125,4.08727,7.769
"Services-n","nouns modified by ""%w""","Authority-n",4123,4.08529,10.728
"East-n","nouns modified by ""%w""","London-n",4119,4.08132,9.417
"chief-j","nouns modified by ""%w""","secretary-n",4113,4.07538,8.479
"public-j","nouns modified by ""%w""","school-n",4112,4.07439,8.120
"Royal-n","nouns modified by ""%w""","Ascot-n",4110,4.07241,9.944
"International-n","nouns modified by ""%w""","Fund-n",4107,4.06943,10.442
"more-j","nouns modified by ""%w""","year-n",4106,4.06844,6.589
"Christmas-n","nouns modified by ""%w""","Day-n",4105,4.06745,10.691
"new-j","nouns modified by ""%w""","project-n",4102,4.06448,6.824
"disabled-j","nouns modified by ""%w""","people-n",4100,4.06250,8.230
"new-j","nouns modified by ""%w""","era-n",4090,4.05259,6.963
"love-n","nouns modified by ""%w""","story-n",4082,4.04466,9.739
"National-n","nouns modified by ""%w""","Service-n",4081,4.04367,9.182
"prize-n","nouns modified by ""%w""","money-n",4080,4.04268,10.442
"North-n","nouns modified by ""%w""","London-n",4074,4.03674,9.241
"good-j","nouns modified by ""%w""","shape-n",4072,4.03475,7.366
"Armed-n","nouns modified by ""%w""","Forces-n",4070,4.03277,13.210
"test-n","nouns modified by ""%w""","result-n",4070,4.03277,9.812
"unemployment-n","nouns modified by ""%w""","rate-n",4068,4.03079,8.875
"small-j","nouns modified by ""%w""","amount-n",4067,4.02980,8.757
"First-n","nouns modified by ""%w""","War-n",4067,4.02980,10.596
"second-j","nouns modified by ""%w""","term-n",4063,4.02584,8.311
"front-j","nouns modified by ""%w""","line-n",4054,4.01692,9.482
"life-n","nouns modified by ""%w""","expectancy-n",4049,4.01196,11.072
"final-j","nouns modified by ""%w""","round-n",4048,4.01097,9.058
"little-j","nouns modified by ""%w""","boy-n",4045,4.00800,8.882
"good-j","nouns modified by ""%w""","position-n",4043,4.00602,7.249
"right-j","nouns modified by ""%w""","way-n",4035,3.99809,8.516
"March-n","nouns modified by ""%w""","year-n",4033,3.99611,7.190
"tour-n","nouns modified by ""%w""","operator-n",4033,3.99611,10.889
"Kenneth-n","nouns modified by ""%w""","Clarke-n",4029,3.99215,11.248
"domestic-j","nouns modified by ""%w""","violence-n",4028,3.99116,10.405
"TV-n","nouns modified by ""%w""","series-n",4027,3.99017,9.343
"big-j","nouns modified by ""%w""","part-n",4027,3.99017,7.747
"Goodluck-n","nouns modified by ""%w""","Jonathan-n",4027,3.99017,12.859
"West-n","nouns modified by ""%w""","Sussex-n",4027,3.99017,9.827
"early-j","nouns modified by ""%w""","1990-n",4023,3.98620,9.182
"Greater-n","nouns modified by ""%w""","Manchester-n",4021,3.98422,12.251
"taxi-n","nouns modified by ""%w""","driver-n",4019,3.98224,10.867
